epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,942.839,1.03804,2.95818,1.1363,0.43535,0.29033,0.3019,0.2172,1.02987,2.33468,1.04471,0.00030027,0.00030027,0.00030027
2,1946.52,1.05092,1.90194,1.11193,0.60028,0.40767,0.45318,0.32373,0.94533,1.76412,1.01446,0.000591326,0.000591326,0.000591326
3,3254.77,1.07788,1.739,1.13116,0.71278,0.41743,0.49089,0.34998,0.95099,1.63101,1.0293,0.000870382,0.000870382,0.000870382
4,4064.9,1.04942,1.5503,1.1089,0.68644,0.44643,0.51284,0.38007,0.93719,1.49242,1.0296,0.000855005,0.000855005,0.000855005
5,4699.87,1.01983,1.4071,1.09388,0.67314,0.48952,0.56456,0.40381,0.89072,1.47932,0.99484,0.000837007,0.000837007,0.000837007
6,5221.43,0.97169,1.27551,1.06924,0.6861,0.50352,0.55092,0.4015,0.90175,1.24002,1.0033,0.000819009,0.000819009,0.000819009
7,5757.25,0.9593,1.18773,1.05521,0.74816,0.51545,0.58314,0.42639,0.84428,1.18971,0.9924,0.000801011,0.000801011,0.000801011
8,6289.03,0.91697,1.09964,1.05322,0.74608,0.53312,0.60596,0.44496,0.8689,1.07491,1.01117,0.000783013,0.000783013,0.000783013
9,6814.43,0.90883,1.07321,1.04482,0.84669,0.48303,0.60462,0.4425,0.85843,1.08597,0.9913,0.000765014,0.000765014,0.000765014
10,7411.82,0.91052,1.04671,1.04385,0.75802,0.56277,0.62871,0.46393,0.82865,0.96223,0.97149,0.000747016,0.000747016,0.000747016
11,7946.47,0.8741,0.96972,1.01642,0.75836,0.55043,0.63114,0.46629,0.83485,0.98431,0.98037,0.000729018,0.000729018,0.000729018
12,8574.09,0.87413,0.97295,1.02699,0.79519,0.54832,0.62461,0.46277,0.81068,1.0059,0.98021,0.00071102,0.00071102,0.00071102
13,9388.18,0.85028,0.92361,1.0085,0.80971,0.56705,0.65675,0.4938,0.77311,0.90858,0.95137,0.000693022,0.000693022,0.000693022
14,10207,0.83826,0.88706,1.00645,0.8294,0.60202,0.68074,0.5181,0.74201,0.82237,0.93151,0.000675023,0.000675023,0.000675023
15,11023.3,0.81513,0.84253,0.99781,0.81961,0.59483,0.67059,0.51114,0.73134,0.81554,0.93674,0.000657025,0.000657025,0.000657025
16,11839.1,0.80626,0.82884,0.99603,0.83419,0.6068,0.68157,0.51086,0.75119,0.8433,0.94927,0.000639027,0.000639027,0.000639027
17,12657.6,0.80171,0.81846,0.98529,0.86469,0.58889,0.67744,0.50985,0.74975,0.79705,0.93895,0.000621029,0.000621029,0.000621029
18,13477.1,0.77353,0.78101,0.9737,0.79851,0.59631,0.65473,0.4993,0.72381,0.84786,0.92255,0.000603031,0.000603031,0.000603031
19,14297,0.76781,0.77446,0.97904,0.84897,0.61734,0.69401,0.52645,0.72121,0.77858,0.92479,0.000585032,0.000585032,0.000585032
20,15113.9,0.76322,0.77742,0.98067,0.85335,0.60424,0.69433,0.53585,0.72244,0.77252,0.92581,0.000567034,0.000567034,0.000567034
21,15931.1,0.7615,0.74774,0.97429,0.8657,0.60575,0.69795,0.53089,0.72661,0.73181,0.93897,0.000549036,0.000549036,0.000549036
22,16748.8,0.7604,0.74255,0.97856,0.82352,0.60129,0.69274,0.53264,0.70784,0.7236,0.92601,0.000531038,0.000531038,0.000531038
23,17565.4,0.73974,0.71588,0.97146,0.84336,0.60343,0.69815,0.54314,0.67739,0.70186,0.90233,0.00051304,0.00051304,0.00051304
24,18380.5,0.71424,0.69287,0.95672,0.85228,0.6316,0.70665,0.55307,0.69364,0.7068,0.92719,0.000495041,0.000495041,0.000495041
25,19196.4,0.72301,0.68863,0.95888,0.85522,0.61387,0.70085,0.54546,0.67679,0.71666,0.91739,0.000477043,0.000477043,0.000477043
26,20011.3,0.70858,0.67618,0.95077,0.87145,0.62428,0.70328,0.54911,0.66789,0.68325,0.90321,0.000459045,0.000459045,0.000459045
27,20826.9,0.71107,0.67162,0.95501,0.85962,0.62839,0.72216,0.5587,0.65504,0.64942,0.90822,0.000441047,0.000441047,0.000441047
28,21643.2,0.71225,0.67067,0.9494,0.87692,0.61533,0.7157,0.55934,0.65991,0.67378,0.90315,0.000423049,0.000423049,0.000423049
29,22459.9,0.69267,0.64247,0.94829,0.87317,0.65227,0.73377,0.5719,0.64049,0.63212,0.89795,0.00040505,0.00040505,0.00040505
30,31708.5,0.68721,0.63032,0.94596,0.84805,0.63666,0.7098,0.55533,0.65577,0.65451,0.89997,0.000387052,0.000387052,0.000387052
31,32511.9,0.68515,0.63935,0.94691,0.81655,0.64112,0.70301,0.5501,0.65164,0.67529,0.89189,0.000369054,0.000369054,0.000369054
32,33319.6,0.66463,0.60399,0.92953,0.88688,0.61815,0.71681,0.56337,0.63555,0.65172,0.89704,0.000351056,0.000351056,0.000351056
33,34124.9,0.65509,0.58902,0.9238,0.87689,0.62698,0.72075,0.56619,0.63639,0.64726,0.90363,0.000333058,0.000333058,0.000333058
34,34929.1,0.65326,0.59785,0.93705,0.8703,0.6439,0.72751,0.56946,0.62662,0.62456,0.90062,0.000315059,0.000315059,0.000315059
35,35501.9,0.65816,0.59008,0.92634,0.89555,0.63699,0.72761,0.5796,0.62807,0.612,0.8969,0.000297061,0.000297061,0.000297061
36,35976.4,0.64829,0.57758,0.92481,0.86954,0.65595,0.73184,0.58204,0.62086,0.5919,0.89322,0.000279063,0.000279063,0.000279063
37,36452.2,0.63622,0.56814,0.92208,0.85885,0.66598,0.74373,0.58593,0.6089,0.57973,0.89035,0.000261065,0.000261065,0.000261065
38,36933.6,0.6223,0.54994,0.91402,0.89281,0.647,0.73985,0.58448,0.61775,0.58312,0.88809,0.000243067,0.000243067,0.000243067
39,37418.4,0.6264,0.54181,0.91614,0.91158,0.64608,0.73633,0.58661,0.60528,0.56594,0.88418,0.000225068,0.000225068,0.000225068
40,38065.6,0.619,0.53522,0.91873,0.86278,0.65511,0.72887,0.57778,0.60671,0.5849,0.88217,0.00020707,0.00020707,0.00020707
41,38864.1,0.55266,0.48729,0.86393,0.85503,0.64022,0.72201,0.56484,0.62503,0.61251,0.88938,0.000189072,0.000189072,0.000189072
42,39676.7,0.52747,0.44802,0.85297,0.93292,0.63094,0.73016,0.58168,0.61964,0.58074,0.90289,0.000171074,0.000171074,0.000171074
43,40488.7,0.52635,0.44672,0.8577,0.90527,0.65001,0.74315,0.58793,0.6189,0.56434,0.90069,0.000153076,0.000153076,0.000153076
44,41301.3,0.51699,0.43622,0.85721,0.89468,0.64921,0.73711,0.5867,0.61193,0.5855,0.89801,0.000135077,0.000135077,0.000135077
45,42114.3,0.51568,0.4258,0.85361,0.886,0.6716,0.74492,0.59281,0.60041,0.56128,0.89187,0.000117079,0.000117079,0.000117079
46,42925.7,0.49794,0.41308,0.84473,0.91771,0.6555,0.74861,0.5941,0.60363,0.54979,0.88969,9.9081e-05,9.9081e-05,9.9081e-05
47,43738.7,0.4933,0.4068,0.84021,0.8849,0.66063,0.74538,0.59284,0.59214,0.55418,0.88323,8.10828e-05,8.10828e-05,8.10828e-05
48,44550.5,0.48705,0.40763,0.84442,0.8998,0.66611,0.74881,0.59845,0.59166,0.54314,0.88959,6.30846e-05,6.30846e-05,6.30846e-05
49,45364,0.47742,0.39469,0.8375,0.91025,0.66669,0.75437,0.60025,0.58958,0.53688,0.88425,4.50864e-05,4.50864e-05,4.50864e-05
50,46175.4,0.48009,0.39397,0.84507,0.91871,0.65324,0.74945,0.59884,0.58398,0.53268,0.88423,2.70882e-05,2.70882e-05,2.70882e-05
